lead_name,lead_type,source_platform,query,evidence_summary,relevance,needs_manual_verify,notes
有意思港式茶餐厅,门店,TripAdvisor/搜索结果,赣州 港式茶餐厅,TripAdvisor 页面显示赣州市有「有意思港式茶餐厅」，评分 3.0，评论数较少。,中,是,可作为早期港式茶餐厅样本，但信息老旧且评论量少，需要核验是否仍营业。
积堡福港式餐厅,门店,TripAdvisor/搜索结果,赣州 中餐 港式餐厅,TripAdvisor 赣州中餐列表中出现「积堡福港式餐厅」。,中,是,需要核验门店状态、位置、人均和品类。
悦得闲广式点心茶楼（万象城店）,门店/社媒线索,抖音搜索结果,赣州 广式早茶 万象城,抖音搜索结果片段出现「悦得闲广式点心茶楼（万象城店）」和「赣州美食、粤菜美食、广式早茶」标签。,高,是,这是目前最接近点都德模型的线索，需要重点核验评价、人均、客流和复购。
避风塘（万嘉商业广场店）,门店,携程/Trip.com,赣州 港式茶餐厅 避风塘,携程页面显示其为港式茶餐厅，有午茶供应，特色菜含虾饺、叉烧包、肠粉、干炒牛河等；页面显示点评 182 条、人均 78 元。,高,是,适合作为港式茶餐厅/午茶样本，需核验是否属于赣州中心城区核心样本。
利苑港式粤菜茶楼,门店/地图线索,地图/Business Search,赣州 港式粤菜茶楼,地图检索出现 Liyuan Gangshi Cantonese Teahouse，地址指向章贡区红旗大道附近。,中,是,需要核验中文名、营业状态、是否真实为粤式茶楼。
悦之味港式茶餐厅,门店/抖音线索,抖音搜索结果,赣州 港式茶餐厅 悦之味,抖音搜索结果片段提到沙河一家港式茶餐厅，描述含蒸凤爪、金钱肚、鲜虾肠、虾饺皇等。,中,是,需核验是否在赣州市区、是否仍营业、具体门店名。
陶陶居,品牌对标,品牌官网/公开资料,陶陶居 品牌 门店 粤菜 老字号,陶陶居为广州老字号粤菜/茶楼品牌，可作为高认知城市首店对标。,高,否,用于品牌模型对标，不等于赣州已有需求。
点都德,品牌对标,公开资料/餐饮媒体,点都德 广式早茶 点心 茶楼,点都德为广式早茶/点心茶楼模型代表，适合判断赣州是否具备全天茶市和点心复购基础。,高,否,用于品牌模型对标，不等于赣州已有需求。
味莊茶餐厅阳明国际店,门店,Trip.com,赣州 港式茶餐厅,Trip.com页面显示味莊茶餐厅阳明国际店为赣州餐厅并有用户称是喜欢的粤式茶餐厅且在赣州开了蛮多家。,高,是,需要核验门店是否仍营业及是否能代表赣州市区港式茶餐厅供给；source=https://hk.trip.com/restaurant/china/ganzhou/detail/restaurant-33641709
味莊茶餐厅自家点心万象城店,门店,大众点评公开图片页,赣州万象城 港式茶餐厅 点心,大众点评公开图片页显示味莊茶餐厅自家点心万象城店并出现港式晶莹鲜虾饺等菜品图片标签。,高,是,只使用公开图片页可见信息；需人工核验评分人均评论和真实复购；source=https://www.dianping.com/shop/l93hy6Cd2liL3OJO/photos/tag-%E8%8F%9C-%E6%B8%AF%E5%BC%8F%E6%99%B6%E8%8E%B9%E9%B2%9C%E8%99%BE%E9%A5%BA
