classified_lead_name,category,source_count,merged_source_platforms,original_lead_names,evidence_summary,relevance,credibility_judgment,is_ganzhou_urban,strong_cantonese_related,may_still_operate,has_price_rating_review_clue,suitable_for_sample_pool,needs_manual_verify,manual_verify_focus,exclusion_reason,notes
悦得闲广式点心茶楼（万象城店/赣州线索）,广式早茶/点心茶楼型,2,抖音公开搜索结果；YouTube公开标题,悦得闲广式点心茶楼（万象城店）；悦得闲广式点心茶楼赣州线索,公开片段显示赣州/万象城相关的悦得闲广式点心茶楼、广东全天茶市、饮早茶等信息。,高,线索强但主要来自社媒公开片段，不能直接作为事实。,疑似是，万象城线索指向赣州市区,是,不明,无,是，优先核验后进入,是,核验门店全名、地址、是否仍营业、人均、评论量、是否全天茶市、是否有家庭/周末消费反馈,,不要把视频/短视频热度等同复购。
避风塘（万嘉商业广场店）,港式茶餐厅型,1,携程/Trip.com,避风塘（万嘉商业广场店）,携程页面显示为港式茶餐厅，有午茶供应，菜品含虾饺、叉烧包、肠粉、干炒牛河等，并有点评数和人均线索。,高,旅游聚合页可信度中等，仍需核验当前营业状态。,待核验，需确认万嘉商业广场所在城区,是,不明,有，人均和点评量线索,是，核验后进入,是,核验地址、营业状态、人均、评分、午茶是否持续供应,,港式茶餐厅需求不能直接等同广式茶楼需求。
味莊茶餐厅（阳明国际店）,港式茶餐厅型,1,Trip.com,味莊茶餐厅阳明国际店,Trip.com页面显示该店为赣州餐厅，公开评论片段提到粤式茶餐厅且称在赣州开了多家。,高,公开聚合页线索较具体，但评论片段数量少。,是，页面地址指向赣州阳明国际,是,不明,有，页面显示评分/评论量线索,是，核验后进入,是,核验是否仍营业、是否多店、当前评分人均、消费者评价关键词,,
味莊茶餐厅·自家点心（万象城店）,港式茶餐厅型,2,大众点评公开图片页；360地图公开索引,味莊茶餐厅自家点心万象城店,公开图片页出现港式鲜虾饺等菜品标签；地图索引显示其位于华润中心万象城5楼526商铺。,高,位置和品类线索较强，但缺少完整公开评论数据。,是，万象城指向赣州市区核心商圈,是,不明,无，当前只见图片/地址线索,是，优先核验后进入,是,核验营业状态、评分、人均、评论量、是否主打点心/烧腊/茶餐厅,,
味庄粤港烧腊海鲜茶餐厅（达芬奇店）,烧腊/粤式快餐型,1,360地图公开索引,味庄粤港烧腊海鲜茶餐厅达芬奇店,360地图公开索引出现该店名，并与味庄茶餐厅相关位置线索关联。,中,地图索引线索，需二次核验。,疑似是，需核验具体地址,是,不明,无,是，核验后进入,是,核验地址、营业状态、是否真实经营烧腊/海鲜/茶餐厅、人均与评价,,
太极粤菜中餐厅,粤菜正餐/顺德菜型,2,携程/Trip.com；永安旅游,太极粤菜中餐厅,携程和永安旅游页面均显示赣州格兰云天国际酒店章贡区万象城店内有太极粤菜中餐厅，标注粤菜、地址、电话及少量点评/人均线索。,高,旅游聚合页与酒店餐饮线索较清晰，但代表性需谨慎。,是，章贡区/万象城附近,是,可能，但仍需核验,有，携程页面有人均/评分/点评线索,是，但应标注为酒店粤菜样本,是,核验当前营业、菜单、人均、是否对外开放、是否有家庭/商务场景评论,,酒店粤菜不一定代表大众商场茶楼消费。
赣州香港油尖旺烧腊茶餐厅（九方）,烧腊/粤式快餐型,2,吃喝玩乐IN赣州；吃喝玩乐IN赣州商家列表,赣州香港油尖旺烧腊茶餐厅,本地生活站点显示该店位于九方购物中心4楼，主营香港烧腊、烧味饭等港式菜品。,高,本地生活站点线索较具体，但可能较旧。,是，九方购物中心为核心商圈线索,是,不明,无,是，优先核验后进入,是,核验是否仍在九方营业、当前人均、评分、评论量、是否以烧腊快餐为主,,
港吉冰室（九方店）,港式茶餐厅型,1,大众点评吃喝玩乐精选公开页,港吉冰室九方店,公开探店页标题为赣州探店超正宗的港茶餐厅，标注店铺为港吉冰室九方店、九方4楼、人均40+。,高,探店线索具体但发布时间较早，不能代表长期经营或复购。,是，九方商圈,是,不明,有，人均40+线索,是，核验后进入,是,核验是否仍营业、当前人均、评分、评论量、是否为港式茶餐厅,,探店热度不等于复购。
港式茶餐厅（地一大道中环广场）,港式茶餐厅型,1,赣州本地宝,港式茶餐厅地一大道中环广场,赣州本地宝公开页面显示港式茶餐厅，服务时间10:00-21:30，品类粤菜，地址为章贡区地一大道中环广场美食区。,中,页面信息具体但门店名过泛，需核验真实名称。,是，章贡区,是,不明,无,暂缓，确认门店真实名称后进入,是,核验真实门店名、是否仍营业、是否有评论/人均,,
利苑港式茶餐厅/港式粤菜茶楼,港式茶餐厅型,3,地图/Business Search；TripAdvisor；吃喝玩乐IN赣州,利苑港式粤菜茶楼；利苑港式茶餐厅；赣州利苑港式茶餐厅,多处公开线索指向赣州利苑港式茶餐厅/港式粤菜茶楼，地址片段包括红旗大道赣龙大酒店旁，TripAdvisor标注中餐/粤菜但评论为0条。,中,多源但偏旧，评论不足。,是，红旗大道/章贡区线索,是,不明，信息可能老旧,部分，有0条点评线索但缺价格,暂缓，营业状态确认后进入,是,核验是否仍营业、中文名、地址、品类、人均和评论量,,
